Item,Title,URL,Descriptions,ImageURL
22,Congress Trump Score,https://www.kaggle.com/datasets/fivethirtyeight/trump-score,"This is FiveThirtyEight's Congress Trump Score. As the website itself puts it, it's ""an updating tally of how often every member of the House and the Senate votes with or against the president"".There are two tables: cts and votes. The first one has summary information for every congressperson: their name, their state, their Trump Score, Trump's share of the votes in the election, etc. The second one has information about every vote each congressperson has cast: their vote, Trump's position on the issue, etc.",https://www.aljazeera.com/wp-content/uploads/2024/11/2024-11-08T164152Z_1866571433_RC2FYAA8EQ0D_RTRMADP_3_TRUMP-MEDIA-STOCKS-SALE-1731159080.jpg?resize=1800%2C1800
23,Homicide Reports; 1980-2014,https://www.kaggle.com/datasets/murderaccountability/homicide-reports,"The Murder Accountability Project is the most complete database of homicides in the United States currently available. This dataset includes murders from the FBI's Supplementary Homicide Report from 1976 to the present and Freedom of Information Act data on more than 22,000 homicides that were not reported to the Justice Department. This dataset includes the age, race, sex, ethnicity of victims and perpetrators, in addition to the relationship between the victim and perpetrator and weapon used.",https://storage.googleapis.com/kaggle-datasets-images/954/1744/0b5ca28982f51bbcaa2cfba7c39fb3cd/dataset-cover.jpg
24,The Bachelor contestants,https://www.kaggle.com/datasets/brianbgonz/the-bachelor-contestants,"I thought it might be neat to do some simple analytics on The Bachelor contestant data. Contestant info (incomplete) from seasons 1, 2, 5, 9-21 of ABC's The Bachelor.Are there any predictors for success on reality dating shows? Has the typical contestant changed over the years? Are certain qualities under/over-represented in these contestants?",https://upload.wikimedia.org/wikipedia/en/thumb/2/25/The_Bachelor_S2_poster.jpg/250px-The_Bachelor_S2_poster.jpg
25,My Uber Drives,https://www.kaggle.com/datasets/zusmani/uberdrives,"Here are the details of my Uber Drives of 2016. I am sharing this dataset for data science community to learn from the behavior of an ordinary Uber customer. Dataset: The dataset contains Start Date, End Date, Start Location, End Location, Miles Driven and Purpose of drive (Business, Personal, Meals, Errands, Meetings, Customer Support etc.) Inspiration. Some ideas worth exploring:What is the average length of the trip?Average number of rides per week or per month?Total tax savings based on traveled business miles?Percentage of business miles vs personal vs. Meals How much money can be saved by a typical customer using Uber, Careem, or Lyft versus regular cab service?",https://media.designrush.com/inspirations/129137/conversions/_1521201517_957_UberLogoPreview-preview.jpg
26,Human Resources Analytics,https://www.kaggle.com/code/jacksonchou/hr-analytics,"This is dataset is for HR analytics, the user who previously submitted this deleted the public dataset. The dataset contains employee profiles of a large company, where each record is an employee.At this stage we want to understand the data that compose our Analytical Base Table (ABT) and assess where the quality of it might suffer.",https://c8.alamy.com/comp/2CBR7BE/hr-analytics-icon-concept-aspects-of-talent-analytics-hr-insights-human-resource-management-as-connected-icons-illustration-2CBR7BE.jpg
27,French presidential election,https://www.kaggle.com/datasets/jeanmidev/french-presidential-election,"This dataset is born from a test with the twitter streaming api to filter and collect data from this flow on a specific topic, in this case the French election.",http://cdn.statcdn.com/Infographic/images/normal/27303.jpeg
28,Nutrition Facts for McDonald's Menu,https://www.kaggle.com/datasets/mcdonalds/nutrition-facts,"Ray Kroc wanted to build a restaurant system that would be famous for providing food of consistently high quality and uniform methods of preparation. He wanted to serve burgers, buns, fries and beverages that tasted just the same in Alaska as they did in Alabama. To achieve this, he chose a unique path: persuading both franchisees and suppliers to buy into his vision, working not for McDonald??s but for themselves, together with McDonald??s. Many of McDonald??s most famous menu items ?C like the Big Mac, Filet-O-Fish, and Egg McMuffin ?C were created by",https://i.pinimg.com/736x/17/aa/23/17aa23158a7c451a196e29ac403e09df.jpg
29,Iris Species,https://www.kaggle.com/datasets/uciml/iris,"The Iris dataset was used in R.A. Fisher's classic 1936 paper, The Use of Multiple Measurements in Taxonomic Problems, and can also be found on the UCI Machine Learning Repository.It includes three iris species with 50 samples each as well as some properties about each flower. One flower species is linearly separable from the other two, but the other two are not linearly separable from each other.",https://img.freepik.com/premium-vector/iris-flower-silhouette_1003347-3971.jpg?semt=ais_hybrid&w=740&q=80
30,IMDB 5000 Movie Dataset,https://www.kaggle.com/datasets/carolzhangdc/imdb-5000-movie-dataset,"A commercial success movie not only entertains audience, but also enables film companies to gain tremendous profit. A lot of factors such as good directors, experienced actors are considerable for creating good movies. However, famous directors and actors can always bring an expected box-office income but cannot guarantee a highly rated imdb score.The dataset is from Kaggle website. It contains 28 variables for 5043 movies, spanning across 100 years in 66 countries. There are 2399 unique director names, and thousands of actors/actresses. ??imdb_score?? is the response variable while the other 27 variables are possible predictors.",https://storage.googleapis.com/kaggle-datasets-images/2907940/5013227/199cb84215cba8e9c127236d7509aae5/dataset-card.png?t=2023-02-17-04-17-36
31,European Soccer Database,https://www.kaggle.com/datasets/hugomathien/soccer,"The ultimate Soccer database for data analysis and machine learning.What you get:+25,000 matches,+10,000 players,11 European Countries with their lead championship,Seasons 2008 to 2016,Players and Teams' attributes* sourced from EA Sports' FIFA video game series, including the weekly updates,Team line up with squad formation (X, Y coordinates),Betting odds from up to 10 providers.Detailed match events (goal types, possession, corner, cross, fouls, cards etc??) for +10,000 matches,*16th Oct 2016: New table containing teams' attributes from FIFA !",https://thumbs.dreamstime.com/z/european-football-teams-logos-vector-official-collection-most-important-soccer-champion-s-league-winners-updated-to-79565512.jpg
32,Climate Change   Earth Surface Temperature Data,https://www.kaggle.com/berkeleyearth/climate-change-earth-surface-temperature-data,"Some say climate change is the biggest threat of our age while others say it??s a myth based on dodgy science. We are turning some of the data over to you so you can form your own view.Even more than with other data sets that Kaggle has featured, there??s a huge amount of data cleaning and preparation that goes into putting together a long-time study of climate trends. Early data was collected by technicians using mercury thermometers, where any variation in the visit time impacted measurements. In the 1940s, the construct",https://berkeley-earth-wp-offload.storage.googleapis.com/wp-content/uploads/2025/01/03231029/2024TemperatureMap-1.png
33,Data Stories of US Airlines; 1987-2008,https://www.kaggle.com/prajitdatta/data-stories-of-us-airlines,"The data used in this project is real and is based on the collection of over 20 years. The total number of record in this dataset is roughly around 120 million rows and the size of the data is approximately 12GB. The data consists of flight arrival and departure details for all commercial flights within the USA, from October 1987 to April 2008. This is a large dataset. There are around 29 attributes.",https://storage.googleapis.com/kaggle-datasets-images/953/1743/05a6084ebb2b43ca497b3849b8bd76bc/dataset-cover.jpg
34,Oil Pipeline Accidents; 2010-Present,https://www.kaggle.com/usdot/pipeline-accidents,"This database includes a record for each oil pipeline leak or spill reported to the Pipeline and Hazardous Materials Safety Administration since 2010. These records include the incident date and time, operator and pipeline, cause of incident, type of hazardous liquid and quantity lost, injuries and fatalities, and associated costs.The oil pipeline accident reports were collected and published by the DOT's Pipeline and Hazardous Materials Safety Administration.",https://www.fractracker.org/a5ej20sjfwe/wp-content/uploads/2020/02/Cause-of-Hazardous-Liquid-Line-Incidents-2010-2019.png
35,Medical Appointment No Shows,https://www.kaggle.com/datasets/joniarroba/noshowappointments,"A person makes a doctor appointment, receives all the instructions and no-show. Who to blame?110.527 medical appointments its 14 associated variables (characteristics). The most important one if the patient show-up or no-show to the appointment. Variable names are self-explanatory, if you have doubts, just let me know!What if that possible to predict someone to no-show an appointment?",http://3.228.224.47/wp-content/uploads/2017/04/no-shows.jpg
36,Speed Dating Experiment,https://www.kaggle.com/datasets/annavictoria/speed-dating-experiment,"What influences love at first sight? (Or, at least, love in the first four minutes?) This dataset was compiled by Columbia Business School professors Ray Fisman and Sheena Iyengar for their paper Gender Differences in Mate Selection: Evidence From a Speed Dating Experiment.Data was gathered from participants in experimental speed dating events from 2002-2004. During the events, the attendees would have a four minute ""first date"" with every other participant of the opposite sex. At the end of their four minutes, participants were asked if they would like to see their date again. They were also asked to rate their date on six attributes: Attractiveness, Sincerity, Intelligence, Fun, Ambition, and Shared Interests.The dataset also includes questionnaire data gathered from participants at different points in the process. These fields include: demographics, dating habits, self-perception across key attributes, beliefs on what others find valuable in a mate, and lifestyle information. See the Speed Dating Data Key document below for details.",https://thumbs.dreamstime.com/b/speed-dating-logo-type-14157925.jpg
37,U.S. Homicide Reports; 1980-2014,https://www.kaggle.com/jyzaguirre/us-homicide-reports,"This datasheet is an extension of the job of ""Murder Accountability Project"". In this datasheet is included a vectorial file of states to make easier the labour of geographical plotting.The Murder Accountability Project is the most complete database of homicides in the United States currently available. This dataset includes murders from the FBI's Supplementary Homicide Report from 1976 to the present and Freedom of Information Act data on more than 22,000 homicides that were not reported to the Justice Department. This dataset includes the age, race, sex, ethnicity of victims and perpetrators, in addition to the relationship between the victim and perpetrator and weapon used.",https://upload.wikimedia.org/wikipedia/commons/7/77/United_States_Homicides_and_Homicide_Rate.png
38,Gender Recognition by Voice,https://www.kaggle.com/datasets/primaryobjects/voicegender,"Gender Recognition by Voice and Speech Analysis. This database was created to identify a voice as male or female, based upon acoustic properties of the voice and speech. The dataset consists of 3,168 recorded voice samples, collected from male and female speakers. The voice samples are pre-processed by acoustic analysis in R using the seewave and tuneR packages, with an analyzed frequency range of 0hz-280hz (human vocal range).",https://res.cloudinary.com/dog8hn5qv/image/upload/v1638984254/blog/2-Figure3-1_rwyjeg.png
39,Pima Indians Diabetes Database,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database,"This dataset is originally from the National Institute of Diabetes and Digestive and Kidney Diseases. The objective of the dataset is to diagnostically predict whether or not a patient has diabetes, based on certain diagnostic measurements included in the dataset. Several constraints were placed on the selection of these instances from a larger database. In particular, all patients here are females at least 21 years old of Pima Indian heritage.The datasets consists of several medical predictor variables and one target variable, Outcome. Predictor variables includes the number of pregnancies the patient has had, their BMI, insulin level, age, and so on.",https://cdn-images-1.medium.com/max/800/0*7p7zUmwZ02iokYmP.jpg
40,Crimes in Chicago,https://www.kaggle.com/datasets/currie32/crimes-in-chicago,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RDAnalysis@chicagopolice.org. Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data are updated daily. The dataset contains more than 6,000,000 records/rows of data and cannot be viewed in full in Microsoft Excel. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e",https://i.ebayimg.com/images/g/s~IAAOSwsCherxgZ/s-l400.png
41,Amazon Fine Food Reviews,https://www.kaggle.com/datasets/snap/amazon-fine-food-reviews,"This dataset consists of reviews of fine foods from amazon. The data span a period of more than 10 years, including all ~500,000 reviews up to October 2012. Reviews include product and user information, ratings, and a plain text review. It also includes reviews from all other Amazon categories",https://storage.googleapis.com/kaggle-datasets-images/18/18/default-backgrounds/dataset-card.jpg
42,Breast Cancer Wisconsin (Diagnostic) Data Set,https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data,"Features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass. They describe characteristics of the cell nuclei present in the image. n the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: ""Robust Linear Programming Discrimination of Two Linearly Inseparable Sets"", Optimization Methods and Software 1, 1992, 23-34].",https://miro.medium.com/1*pxFCmhRFTighUn88baLcSA.png
43,Crime in Context; 1975-2015,https://www.kaggle.com/datasets/marshallproject/crime-rates,"Is crime in America rising or falling? The answer is not as simple as politicians make it out to be because of how the FBI collects crime data from the country??s more than 18,000 police agencies. National estimates can be inconsistent and out of date, as the FBI takes months or years to piece together reports from those agencies that choose to participate in the voluntary program. To try to fill this gap, The Marshall Project collected and analyzed more than 40 years of data on the four major crimes the FBI classifies as violent ?? homicide, rape, robbery and assault ?? in 68 police jurisdictions with populations of 250,000 or greater. We obtained 2015 reports, which have yet to be released by the FBI, directly from 61 of them. We calculated the rate of crime in each category and for all violent crime, per 100,000 residents in the jurisdiction, based on the FBI??s estimated population for that year. We used the 2014 estimated population to calculate 2015 crime rates per capita.",https://datametaverse.io/public/project_images/1750841068.png
44,Getting Real about Fake News,https://www.kaggle.com/mrisdal/fake-news,"The latest hot topic in the news is fake news and many are wondering what data scientists can do to detect it and stymie its viral spread. This dataset is only a first step in understanding and tackling this problem. It contains text and metadata scraped from 244 websites tagged as ""bullshit"" by the BS Detector Chrome Extension by Daniel Sieradski. Warning: I did not modify the list of news sources from the BS Detector so as not to introduce my (useless) layer of bias; I'm not an authority on fake news. There may be sources whose inclusion you disagree with. It's up to you to decide how to work with the data and how you might contribute to ""improving it"". The labels of ""bs"" and ""junksci"", etc. do not constitute capital ""t"" Truth. If there are other sources you would like to include, start a discussion. If there are sources you believe should not be included, start a discussion or write a kernel analyzing the data. Or take the data and do something else productive with it. Kaggle's choice to host this dataset is not meant to express any particular political affiliation or intent.",https://www.shutterstock.com/image-vector/fake-real-icon-badge-news-260nw-2470953365.jpg
45,Lending Club Loan Data,https://www.kaggle.com/datasets/wordsforthewise/lending-club,"LendingClub is a US peer-to-peer lending company, headquartered in San Francisco, California. It was the first peer-to-peer lender to register its offerings as securities with the Securities and Exchange Commission (SEC), and to offer loan trading on a secondary market. Lending Club is the world's largest peer-to-peer lending platform.The company claims that $ 15.98 billion in loans had been originated through its platform up to December 31, 2015.Lending Club enables borrowers to create unsecured personal loans between $$1,000 and $ 40,000. The standard loan period is three years. Investors can search and browse the loan listings on Lending Club website and select loans that they want to invest in based on the information supplied about the borrower, amount of loan, loan grade, and loan purpose. Investors make money from interest. Lending Club makes money by charging borrowers an origination fee and investors a service fee.These files contain complete loan data for all loans issued through the 2007-2015, including the current loan status (Current, Late, Fully Paid, etc.) and latest payment information. The file containing loan data through the ""present"" contains complete loan data for all loans issued through the previous completed calendar quarter. Additional features include credit scores, number of finance inquiries, address including zip codes, and state, and collections among others. The file is a matrix of about 890 thousand observations and 75 variables. A data dictionary is provided in a separate file.",https://storage.googleapis.com/kaggle-datasets-images/1415343/2344503/24b2a8432613b1eba20c95b975d5202c/dataset-cover.png?t=2021-06-17-11-23-08
46,World Development Indicators,https://www.kaggle.com/datasets/theworldbank/world-development-indicators,"The World Development Indicators from the World Bank contain over a thousand annual indicators of economic development from hundreds of countries around the world.Here's a list of the available indicators along with a list of the available countries.For example, this data includes the life expectancy at birth from many countries around the world:",https://www.eui.eu/Images/Images-2011/Research/Library/ResearchGuides/Economics/DataLogos/WDI175x175.png
47,Human Activity Recognition with Smartphones,https://www.kaggle.com/datasets/uciml/human-activity-recognition-with-smartphones,"The Human Activity Recognition database was built from the recordings of 30 study participants performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors. The objective is to classify activities into one of the six activities performed.The experiments have been carried out with a group of 30 volunteers within an age bracket of 19-48 years. Each person performed six activities (WALKING, WALKINGUPSTAIRS, WALKINGDOWNSTAIRS, SITTING, STANDING, LAYING) wearing a smartphone (Samsung Galaxy S II) on the waist. Using its embedded accelerometer and gyroscope, we captured 3-axial linear acceleration and 3-axial angular velocity at a constant rate of 50Hz. The experiments have been video-recorded to label the data manually. The obtained dataset has been randomly partitioned into two sets, where 70% of the volunteers was selected for generating the training data and 30% the test data.The sensor signals (accelerometer and gyroscope) were pre-processed by applying noise filters and then sampled in fixed-width sliding windows of 2.56 sec and 50% overlap (128 readings/window). The sensor acceleration signal, which has gravitational and body motion components, was separated using a Butterworth low-pass filter into body acceleration and gravity. The gravitational force is assumed to have only low frequency components, therefore a filter with 0.3 Hz cutoff frequency was used. From each window, a vector of features was obtained by calculating variables from the time and frequency domain.",http://static1.squarespace.com/static/597d2753be6594cef6a34840/597d2c4715d5dbc171e4723f/597ded44e45a7c9f617e440b/1504188481214/micromachines-06-01100-g002.png?format=1500w
48,Circadian Rhythm in the Brain,https://www.kaggle.com/datasets/kmader/circadian-rhythm-in-the-brain,The data are a time-series of fluorescence images measured of at OHSU Lab of Charles Allen (https://www.ohsu.edu/xd/research/centers-institutes/oregon-institute-occupational-health-sciences/research/allen/).We use a fluorescent protein as a reporter for the circadian clock gene Period1. We are able to follow the expression of this gene in many neurons for several days to understand how the neural network in the suprachiasmatic nucleus synchronizes the circadian clock of individual neurons to produce a precise circadian rhythm. We analyze each image to determine the fluorescence intensity of each neuron over multiple circadian cycles.,https://www.researchgate.net/publication/355358353/figure/fig3/AS:11431281250228332@1717798208463/Circadian-clock-networks-in-the-brain-The-SCN-receives-photic-information-via-the-RHT.png
49,H-1B Visa Petitions 2011-2016,https://www.kaggle.com/datasets/nsharan/h-1b-visa,"H-1B visas are a category of employment-based, non-immigrant visas for temporary foreign workers in the United States. For a foreign national to apply for H1-B visa, a US employer must offer them a job and submit a petition for a H-1B visa to the US immigration department. This is also the most common visa status applied for and held by international students once they complete college or higher education and begin working in a full-time position.This dataset contains five year's worth of H-1B petition data, with approximately 3 million records overall. The columns in the dataset include case status, employer name, worksite coordinates, job title, prevailing wage, occupation code, and year filed.",https://images.ctfassets.net/uwf0n1j71a7j/5sPtHfvxD9zByosAIrnOKf/86121c5008eeec2b0a67c9d3e4bb9e31/h1b-visa.png
50,Federal Reserve Interest Rates; 1954-Present,https://www.kaggle.com/datasets/federalreserve/interest-rates,"The Federal Reserve sets interest rates to promote conditions that achieve the mandate set by the Congress ?? high employment, low and stable inflation, sustainable economic growth, and moderate long-term interest rates. Interest rates set by the Fed directly influence the cost of borrowing money. Lower interest rates encourage more people to obtain a mortgage for a new home or to borrow money for an automobile or for home improvement. Lower rates encourage businesses to borrow funds to invest in expansion such as purchasing new equipment, updating plants, or hiring more workers. Higher interest rates restrain such borrowing by consumers and businesses.This dataset includes data on the economic conditions in the United States on a monthly basis since 1954. The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. The rate that the borrowing institution pays to the lending insti",https://www.visualcapitalist.com/wp-content/uploads/2025/09/U.S.-Interest-Rates-1954-2024_website-1200px_Sep17.jpg
51,Steam Video Games,https://www.kaggle.com/datasets/tamber/steam-video-games,"Steam is the world's most popular PC Gaming hub, with over 6,000 games and a community of millions of gamers. With a massive collection that includes everything from AAA blockbusters to small indie titles, great discovery tools are a highly valuable asset for Steam. How can we make them better?This dataset is a list of user behaviors, with columns: user-id, game-title, behavior-name, value. The behaviors included are 'purchase' and 'play'. The value indicates the degree to which the behavior was performed - in the case of 'purchase' the value is always 1, and in the case of 'play' the value represents the number of hours the user has played the game.",https://e7.pngegg.com/pngimages/858/269/png-clipart-steam-computer-icons-computer-software-video-game-others-miscellaneous-game-thumbnail.png
52,Crowdedness at the Campus Gym,https://www.kaggle.com/datasets/nsrose7224/crowdedness-at-the-campus-gym,"When is my university campus gym least crowded, so I know when to work out? We measured how many people were in this gym once every 10 minutes over the last year. We want to be able to predict how crowded the gym will be in the future.Given a time of day (and maybe some other features, including weather), predict how crowded the gym will be.igure out which features are actually important, which are redundant, and what features could be added to make the predictions more accurate",https://media.istockphoto.com/id/175447208/photo/group-of-people-exercising-in-gym.jpg?s=612x612&w=0&k=20&c=NCTglZQg2nhe3aIpyfexogPoj7F9aN_3yk71lh8vXT8=
53,Brazil's House of Deputies Reimbursements,https://www.kaggle.com/datasets/epattaro/brazils-house-of-deputies-reimbursements,"Brazilian politicians are entitled to refunds if they spend any of their money on an activity that is enabling them to ""better serve the people"". Those expenses are public data, however, there is little monitoring/data analysis of it. A quick look at it shows a deputy with over 800 flights in one year. Another deputy has over 140.000R$ expenses on mailing (old fashion mail) in one year. There are a lot of very suspicious data regarding the deputies expending behavior. Can you help spot outliers and companies charging unusual amounts of money for a service?",https://images.seeklogo.com/logo-png/48/1/chamber-of-deputies-of-empire-of-brazil-logo-png_seeklogo-485444.png
54,Employee Attrition,https://www.kaggle.com/datasets/HRAnalyticRepository/employee-attrition-data,This data was originally posted on my personal oneDrive account. It represent fictitious/fake data on terminations. For each of 10 years it show employees that are active and those that terminated. The intent is to see if individual terminations can be predicted from the data provided. The thing to be predicted is status of active or terminated,https://www.shutterstock.com/image-vector/attrition-icon-symbol-design-time-600nw-1206664771.jpg
55,Open Flood Risk by Postcode,https://www.kaggle.com/datasets/getthedata/open-flood-risk-by-postcode,"This dataset takes the Environment Agency's Risk of Flooding from Rivers and Sea, and places English postcodes in their appropriate flood risk area, allowing you to look up flood risk from postcode.Open Flood Risk by Postcode takes postcodes as point locations (from Open Postcode Geo) and places the postcode in the appropriate flood risk area. It is important to note that actual properties within a specific postcode may have a slightly different point location and therefore be in a different flood risk area. Generally speaking the point location of a postcode is the point location of the central property in that postcode.",https://storage.googleapis.com/kaggle-datasets-images/1019/1842/17c2ba5d1c3d8bc2a1149e38e2ccb44b/dataset-card.png
56,Govt. of India Census; 2001 District-Wise,https://www.kaggle.com/datasets/bazuka/census2001,"Census of India is a rich database which can tell stories of over a billion Indians. It is important not only for research point of view, but commercially as well for the organizations that want to understand India's complex yet strongly knitted heterogeneity. However, nowhere on the web, there exists a single database that combines the district- wise information of all the variables (most include no more than 4-5 out of over 50 variables!). Extracting and using data from Census of India 2001 is quite a laborious task since all data is made available in scattered PDFs district wise. Individual PDFs can be extracted from http://www.censusindia.gov.in/(S(ogvuk1y2e5sueoyc5eyc0g55))/Tables_Published/Basic_Data_Sheet.aspx.",https://upload.wikimedia.org/wikipedia/commons/3/3a/Logo_of_the_Census_of_India.jpg
57,Emotion; Aging; and Sentiment Over Time,https://www.kaggle.com/datasets/cjroth/chronist,"Chronist is a project to quantitatively monitor the emotional and physical changes of an individual over periods of time. My thesis is that if you can accurately show emotional or physical change over time, you can objectively pinpoint how an environmental change such as a career change, moving to a new city, starting or ending a relationship, or starting a new habit like going to the gym affected your physical and emotional health. This can lead to important insights on an individual level and for a population as a whole.",https://www.researchgate.net/publication/349825580/figure/fig3/AS:1022396177866759@1620769652973/Distribution-of-different-types-of-sentiments-across-different-time-periods-used-for.ppm
58,Video Game Sales with Ratings,https://www.kaggle.com/datasets/rush4ratio/video-game-sales-with-ratings,"Motivated by Gregory Smith's web scrape of VGChartz Video Games Sales, this data set simply extends the number of variables with another web scrape from Metacritic. Unfortunately, there are missing observations as Metacritic only covers a subset of the platforms. Also, a game may not have all the observations of the additional variables discussed below. Complete cases are ~ 6,900",https://miro.medium.com/v2/resize:fit:1134/1*WXKagRt_7zcFh0E9WqGqJw.png
